encoder,encoder_family,dataset,query_id,query_text,query_length_tokens,nDCG@10,primary_label,labels
conv-retriever,convolutional,fiqa,4102,How can I determine if my rate of return is “good” for the market I am in?,20.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4153,How do I invest in emerging markets,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4205,How and why does the exchange rate of a currency change almost everyday?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,4415,How much is inflation?,5.0,0.0,LEN-SHORT,LEN-SHORT|NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4500,What to ask Warren Buffet at the Berkshire Hathaway shareholder meeting?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4504,what is the best way of investment which gives returns forever?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4571,"HSBC Hong Kong's “Deposit Plus” Product: What is it, and what strategies to employ?",22.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,4678,"Finance, Cash or Lease?",6.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4756,What is the formula for the Tesla Finance calculation?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4767,New car: buy with cash or 0% financing,10.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,4777,How to finance necessary repairs to our home in order to sell it?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4827,Are all financial advisors compensated in the same way?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,4845,What is the difference between fund and portfolio?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,4999,Looking for a good source for Financial Statements,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,5021,"Is there a more flexible stock chart service, e.g. permitting choice of colours when comparing multiple stocks?",22.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,5030,Why pay for end-of-day historical prices?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,5083,Co-signer deceased,5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,5086,Mortgage loan implications when tearing down existing house and building new one?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5343,“International credit report” for French nationals?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,5402,Is it impossible to get a home loan with a poor credit history after a divorce?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for beginner with a math background?",25.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5464,Resources on Buying Rental Properties,5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,5511,Pay off car loan entirely or leave $1 until the end of the loan period?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,5534,How does “taking over payments” work?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,5616,How and where do companies publish financial reports?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,5646,Do I need multiple credit monitoring services?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5741,Learning investing and the stock market,6.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
conv-retriever,convolutional,fiqa,5808,How do you calculate return on investment for a share of stock?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,585,Following an investment guru a good idea?,8.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,5853,Paying Off Principal of Home vs. Investing In Mutual Fund,11.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,5862,Can I get a discount on merchandise by paying with cash instead of credit?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,5906,0% APR first 12 months on new credit card. Can I exceed that 30% rule of thumb and not hurt my credit score?,27.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NUMERIC-ENTITY|NEGATION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6004,Put-Call parity - what is the difference between the two representations?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,6005,Why might it be advisable to keep student debt vs. paying it off quickly?,18.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,6122,Better to rent condo to daughter or put her on title?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6199,How can all these countries owe so much money?  Why & where did they borrow it from?,19.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,6221,"To pay off a student loan, should I save up a lump sum payoff payment or pay extra each month?",23.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,6252,"Is this mortgage advice good, or is it hooey?",13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6410,Will an ETF immediately reflect a reconstitution of underlying index,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6479,Trading on exchanges or via brokerage companies?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6611,How does Vanguard determine the optimal asset allocation for their Target Retirement Funds?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,6612,"If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage?",33.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,6625,What does a high theta mean for an option position?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,6792,Where to find the full book of outstanding bids/asks for a stock?,15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,7017,Basic Algorithmic Trading Strategy,5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,7178,Should an ADR that is being delisted be sold off?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,7345,What do these numbers mean? (futures),9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,7431,Pay off mortgage or invest in high value saving account,10.0,0.0,DOMAIN-TERM,DOMAIN-TERM
conv-retriever,convolutional,fiqa,7441,"Since many brokers disallow investors from shorting sub-$5 stocks, why don't all companies split their stock until it is sub-$5",33.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|NEGATION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,7448,"If an index goes up because an underlying company issues more shares, what happens to the ETF",19.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,7456,What is market order's relation to bid ask spread?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,7513,Where are Bogleheadian World ETFs or Index funds?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,7533,Investing tax (savings),5.0,0.0,LEN-SHORT,LEN-SHORT
conv-retriever,convolutional,fiqa,7622,Best way to pay off debt?,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,766,Will the ex-homeowner still owe money after a foreclosure?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,7823,Retirement Funds: Betterment vs Vanguard Life strategy vs Target Retirement,12.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
conv-retriever,convolutional,fiqa,7876,Why do stocks split?,5.0,0.0,LEN-SHORT,LEN-SHORT|NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8002,What is the tax treatment of scrip dividends in the UK?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,8005,Difference between Vanguard sp500 UCITS and Vanguard sp500,11.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY|MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,8017,Purchasing ETFs when (pretty much) everything else is maxed out,14.0,0.0,DOMAIN-TERM,DOMAIN-TERM
conv-retriever,convolutional,fiqa,8034,What is the average cost of a portfolio on a trading site?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,8079,Growth rate plus dividend yieid total?,10.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,8121,Can I calculate stock value with Williams%R if I know the last set?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8275,Buy/Selling prices at the stock exchange represent someone Selling/Buying at that price?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8507,When to sell a stock?,6.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8513,Buy on dip when earnings fail?,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
conv-retriever,convolutional,fiqa,852,Dalbar: How can the average investor lose money?,11.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8539,Can the risk of investing in an asset be different for different investors?,14.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,859,"Any reason to keep around my account with my old, 'big' bank?",16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,8635,Is there any flaw in this investment scheme?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8779,How does a defined contribution plan work,7.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8832,Is it possible to buy commodity ETFs (e.g. silver) through Questrade?,19.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,8834,Pros/Cons of Buying Discounted Company Stock,11.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,89,How can I deposit a check made out to my business into my personal account?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8959,How is the opening-day price of a stock decided?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,8974,"As a 22-year-old, how risky should I be with my 401(k) investments?",21.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|NUMERIC-ENTITY|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,90,Filing personal with 1099s versus business s-corp?,12.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY|MULTI-CONCEPT
conv-retriever,convolutional,fiqa,9088,Brokerage account for charity,5.0,0.0,LEN-SHORT,LEN-SHORT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,9164,Bonds vs equities: crash theory,8.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,9245,Stock Options for a company bought out in cash and stock,11.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT|DOMAIN-TERM
conv-retriever,convolutional,fiqa,9291,Are there any consequences for investing in Vanguard's Admiral Shares funds instead of ETF's in a Roth IRA?,24.0,0.0,LEN-LONG,LEN-LONG|NATURAL-QUESTION|DOMAIN-TERM
conv-retriever,convolutional,fiqa,932,Is freelance income earned by a U.S. citizen while living abroad subject to state income tax?,20.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,9487,Is a public company allowed to issue new shares below market price without consulting shareholders?,16.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NEGATION
conv-retriever,convolutional,fiqa,957,How can I withdraw money from my LLC?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,9633,Video recommendation for stock market education,6.0,0.0,UNCATEGORIZED,UNCATEGORIZED
conv-retriever,convolutional,fiqa,9668,Do stock option prices predicate the underlying stock's movement?,13.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,9701,How to bet against the London housing market?,9.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,9737,Long(100%)-Short(-100%) investment explanation,14.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
conv-retriever,convolutional,fiqa,9771,Is there any emprical research done on 'adding to a loser',15.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION
conv-retriever,convolutional,fiqa,9925,What does Chapter 11 Bankruptcy mean to an investor holding shares of a Chapter 11 Company?,17.0,0.0,NATURAL-QUESTION,NATURAL-QUESTION|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1021,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,30.0,0.0,LEN-LONG,LEN-LONG|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,1024,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,18.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1049,Ribosomopathies have a low degree of cell and tissue specific pathology.,16.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,1099,Statins decrease blood cholesterol.,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1100,Statins increase blood cholesterol.,8.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1107,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,14.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1110,Suboptimal nutrition is not predictive of chronic disease,12.0,0.0,NEGATION,NEGATION
lstm-retriever,recurrent,scifact,1132,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,26.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1187,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,34.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT|DOMAIN-TERM
lstm-retriever,recurrent,scifact,1191,The amount of publicly available DNA data doubles every 10 years.,12.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1194,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,30.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1196,The availability of safe places to study is effective at decreasing homelessness.,14.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1199,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,24.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,1202,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,20.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,1204,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,30.0,0.0,LEN-LONG,LEN-LONG|NUMERIC-ENTITY|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,1207,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,36.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,1213,The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.,19.0,0.0,MULTI-CONCEPT,MULTI-CONCEPT
lstm-retriever,recurrent,scifact,1221,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,22.0,0.0,LEN-LONG,LEN-LONG|DOMAIN-TERM
lstm-retriever,recurrent,scifact,1225,The locus rs647161 is associated with colorectal carcinoma.,17.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1226,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",21.0,0.0,LEN-LONG,LEN-LONG|MULTI-CONCEPT
lstm-retriever,recurrent,scifact,1241,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,18.0,0.0,UNCATEGORIZED,UNCATEGORIZED
lstm-retriever,recurrent,scifact,127,Arginine 90 in p150n is important for interaction with EB1.,18.0,0.0,NUMERIC-ENTITY,NUMERIC-ENTITY
lstm-retriever,recurrent,scifact,1272,The single flash-evoked ERG b-wave is generated by activity of ON-bipolar cells.,21.0,0.0,LEN-LONG,LEN-LONG
lstm-retriever,recurrent,scifact,1279,The treatment of cancer patients with co-IR blockade precipitates adverse autoimmune events.,21.0,0.0,LEN-LONG,LEN-LONG
